"","x","Asset","Prob","age","xx","variable","value"
"1",0,"Turbine, Runner","rn_IR_Mean_Impact_Cost",0,0,"IR_Auxiliary System Failure (Turbine)_rn_mean",0.000574234783116811
"2",0.01,"Turbine, Runner","rn_IR_Mean_Impact_Cost",1,0.01,"IR_Auxiliary System Failure (Turbine)_rn_mean",0.0053461535004558
"3",0.02,"Turbine, Runner","rn_IR_Mean_Impact_Cost",2,0.02,"IR_Auxiliary System Failure (Turbine)_rn_mean",0.0244199528230132
"4",0.03,"Turbine, Runner","rn_IR_Mean_Impact_Cost",3,0.03,"IR_Auxiliary System Failure (Turbine)_rn_mean",0.11396970579847
"5",0.04,"Turbine, Runner","rn_IR_Mean_Impact_Cost",4,0.04,"IR_Auxiliary System Failure (Turbine)_rn_mean",0.414481314996129
"6",0.05,"Turbine, Runner","rn_IR_Mean_Impact_Cost",5,0.05,"IR_Auxiliary System Failure (Turbine)_rn_mean",0.727462512249243
"7",0.06,"Turbine, Runner","rn_IR_Mean_Impact_Cost",6,0.06,"IR_Auxiliary System Failure (Turbine)_rn_mean",1.33255461101329
"8",0.07,"Turbine, Runner","rn_IR_Mean_Impact_Cost",7,0.07,"IR_Auxiliary System Failure (Turbine)_rn_mean",2.57634670933979
"9",0.08,"Turbine, Runner","rn_IR_Mean_Impact_Cost",8,0.08,"IR_Auxiliary System Failure (Turbine)_rn_mean",6.14192606551227
"10",0.09,"Turbine, Runner","rn_IR_Mean_Impact_Cost",9,0.09,"IR_Auxiliary System Failure (Turbine)_rn_mean",8.74051768214001
"11",0.1,"Turbine, Runner","rn_IR_Mean_Impact_Cost",10,0.1,"IR_Auxiliary System Failure (Turbine)_rn_mean",13.0845924174362
"12",0.11,"Turbine, Runner","rn_IR_Mean_Impact_Cost",11,0.11,"IR_Auxiliary System Failure (Turbine)_rn_mean",18.4233184978464
"13",0.12,"Turbine, Runner","rn_IR_Mean_Impact_Cost",12,0.12,"IR_Auxiliary System Failure (Turbine)_rn_mean",24.6339666144524
"14",0.13,"Turbine, Runner","rn_IR_Mean_Impact_Cost",13,0.13,"IR_Auxiliary System Failure (Turbine)_rn_mean",32.9017044404837
"15",0.14,"Turbine, Runner","rn_IR_Mean_Impact_Cost",14,0.14,"IR_Auxiliary System Failure (Turbine)_rn_mean",48.8258506305242
"16",0.15,"Turbine, Runner","rn_IR_Mean_Impact_Cost",15,0.15,"IR_Auxiliary System Failure (Turbine)_rn_mean",59.2511160440363
"17",0.16,"Turbine, Runner","rn_IR_Mean_Impact_Cost",16,0.16,"IR_Auxiliary System Failure (Turbine)_rn_mean",90.8208821708139
"18",0.17,"Turbine, Runner","rn_IR_Mean_Impact_Cost",17,0.17,"IR_Auxiliary System Failure (Turbine)_rn_mean",115.107331934905
"19",0.18,"Turbine, Runner","rn_IR_Mean_Impact_Cost",18,0.18,"IR_Auxiliary System Failure (Turbine)_rn_mean",143.319446808104
"20",0.19,"Turbine, Runner","rn_IR_Mean_Impact_Cost",19,0.19,"IR_Auxiliary System Failure (Turbine)_rn_mean",168.139039635655
"21",0.2,"Turbine, Runner","rn_IR_Mean_Impact_Cost",20,0.2,"IR_Auxiliary System Failure (Turbine)_rn_mean",210.895059503619
"22",0.21,"Turbine, Runner","rn_IR_Mean_Impact_Cost",21,0.21,"IR_Auxiliary System Failure (Turbine)_rn_mean",252.565988433224
"23",0.22,"Turbine, Runner","rn_IR_Mean_Impact_Cost",22,0.22,"IR_Auxiliary System Failure (Turbine)_rn_mean",317.266583719759
"24",0.23,"Turbine, Runner","rn_IR_Mean_Impact_Cost",23,0.23,"IR_Auxiliary System Failure (Turbine)_rn_mean",383.707641485589
"25",0.24,"Turbine, Runner","rn_IR_Mean_Impact_Cost",24,0.24,"IR_Auxiliary System Failure (Turbine)_rn_mean",533.469086246649
"26",0.25,"Turbine, Runner","rn_IR_Mean_Impact_Cost",25,0.25,"IR_Auxiliary System Failure (Turbine)_rn_mean",641.719451686434
"27",0.26,"Turbine, Runner","rn_IR_Mean_Impact_Cost",26,0.26,"IR_Auxiliary System Failure (Turbine)_rn_mean",744.929454629913
"28",0.27,"Turbine, Runner","rn_IR_Mean_Impact_Cost",27,0.27,"IR_Auxiliary System Failure (Turbine)_rn_mean",1076.9821373375
"29",0.28,"Turbine, Runner","rn_IR_Mean_Impact_Cost",28,0.28,"IR_Auxiliary System Failure (Turbine)_rn_mean",1210.28994049741
"30",0.29,"Turbine, Runner","rn_IR_Mean_Impact_Cost",29,0.29,"IR_Auxiliary System Failure (Turbine)_rn_mean",1665.12484988303
"31",0.3,"Turbine, Runner","rn_IR_Mean_Impact_Cost",30,0.3,"IR_Auxiliary System Failure (Turbine)_rn_mean",2009.80434884704
"32",0.31,"Turbine, Runner","rn_IR_Mean_Impact_Cost",31,0.31,"IR_Auxiliary System Failure (Turbine)_rn_mean",2634.45047799895
"33",0.32,"Turbine, Runner","rn_IR_Mean_Impact_Cost",32,0.32,"IR_Auxiliary System Failure (Turbine)_rn_mean",2956.26810794927
"34",0.33,"Turbine, Runner","rn_IR_Mean_Impact_Cost",33,0.33,"IR_Auxiliary System Failure (Turbine)_rn_mean",4446.27961674076
"35",0.34,"Turbine, Runner","rn_IR_Mean_Impact_Cost",34,0.34,"IR_Auxiliary System Failure (Turbine)_rn_mean",5300.35008753049
"36",0.35,"Turbine, Runner","rn_IR_Mean_Impact_Cost",35,0.35,"IR_Auxiliary System Failure (Turbine)_rn_mean",6033.55231470301
"37",0.36,"Turbine, Runner","rn_IR_Mean_Impact_Cost",36,0.36,"IR_Auxiliary System Failure (Turbine)_rn_mean",7069.4902361379
"38",0.37,"Turbine, Runner","rn_IR_Mean_Impact_Cost",37,0.37,"IR_Auxiliary System Failure (Turbine)_rn_mean",7937.77612466333
"39",0.38,"Turbine, Runner","rn_IR_Mean_Impact_Cost",38,0.38,"IR_Auxiliary System Failure (Turbine)_rn_mean",15684.1799722324
"40",0.39,"Turbine, Runner","rn_IR_Mean_Impact_Cost",39,0.39,"IR_Auxiliary System Failure (Turbine)_rn_mean",17267.6660724477
"41",0.4,"Turbine, Runner","rn_IR_Mean_Impact_Cost",40,0.4,"IR_Auxiliary System Failure (Turbine)_rn_mean",19064.8866137877
"42",0.41,"Turbine, Runner","rn_IR_Mean_Impact_Cost",41,0.41,"IR_Auxiliary System Failure (Turbine)_rn_mean",23320.1509247272
"43",0.42,"Turbine, Runner","rn_IR_Mean_Impact_Cost",42,0.42,"IR_Auxiliary System Failure (Turbine)_rn_mean",25077.229476432
"44",0.43,"Turbine, Runner","rn_IR_Mean_Impact_Cost",43,0.43,"IR_Auxiliary System Failure (Turbine)_rn_mean",31241.7582769483
"45",0.44,"Turbine, Runner","rn_IR_Mean_Impact_Cost",44,0.44,"IR_Auxiliary System Failure (Turbine)_rn_mean",33454.0934813634
"46",0.45,"Turbine, Runner","rn_IR_Mean_Impact_Cost",45,0.45,"IR_Auxiliary System Failure (Turbine)_rn_mean",36450.1051152418
"47",0.46,"Turbine, Runner","rn_IR_Mean_Impact_Cost",46,0.46,"IR_Auxiliary System Failure (Turbine)_rn_mean",41832.6307805209
"48",0.47,"Turbine, Runner","rn_IR_Mean_Impact_Cost",47,0.47,"IR_Auxiliary System Failure (Turbine)_rn_mean",50969.8754452769
"49",0.48,"Turbine, Runner","rn_IR_Mean_Impact_Cost",48,0.48,"IR_Auxiliary System Failure (Turbine)_rn_mean",60535.5480697375
"50",0.49,"Turbine, Runner","rn_IR_Mean_Impact_Cost",49,0.49,"IR_Auxiliary System Failure (Turbine)_rn_mean",71399.3531220552
"51",0.5,"Turbine, Runner","rn_IR_Mean_Impact_Cost",50,0.5,"IR_Auxiliary System Failure (Turbine)_rn_mean",89040.0707912619
"52",0.51,"Turbine, Runner","rn_IR_Mean_Impact_Cost",51,0.51,"IR_Auxiliary System Failure (Turbine)_rn_mean",99466.0744579958
"53",0.52,"Turbine, Runner","rn_IR_Mean_Impact_Cost",52,0.52,"IR_Auxiliary System Failure (Turbine)_rn_mean",105182.853723864
"54",0.53,"Turbine, Runner","rn_IR_Mean_Impact_Cost",53,0.53,"IR_Auxiliary System Failure (Turbine)_rn_mean",162066.084263457
"55",0.54,"Turbine, Runner","rn_IR_Mean_Impact_Cost",54,0.54,"IR_Auxiliary System Failure (Turbine)_rn_mean",174310.174045607
"56",0.55,"Turbine, Runner","rn_IR_Mean_Impact_Cost",55,0.55,"IR_Auxiliary System Failure (Turbine)_rn_mean",183712.013039592
"57",0.56,"Turbine, Runner","rn_IR_Mean_Impact_Cost",56,0.56,"IR_Auxiliary System Failure (Turbine)_rn_mean",210551.752499666
"58",0.57,"Turbine, Runner","rn_IR_Mean_Impact_Cost",57,0.57,"IR_Auxiliary System Failure (Turbine)_rn_mean",221440.1467062
"59",0.58,"Turbine, Runner","rn_IR_Mean_Impact_Cost",58,0.58,"IR_Auxiliary System Failure (Turbine)_rn_mean",245771.778357218
"60",0.59,"Turbine, Runner","rn_IR_Mean_Impact_Cost",59,0.59,"IR_Auxiliary System Failure (Turbine)_rn_mean",269427.412989638
"61",0.6,"Turbine, Runner","rn_IR_Mean_Impact_Cost",60,0.6,"IR_Auxiliary System Failure (Turbine)_rn_mean",288384.274475626
"62",0.61,"Turbine, Runner","rn_IR_Mean_Impact_Cost",61,0.61,"IR_Auxiliary System Failure (Turbine)_rn_mean",309294.827721405
"63",0.62,"Turbine, Runner","rn_IR_Mean_Impact_Cost",62,0.62,"IR_Auxiliary System Failure (Turbine)_rn_mean",331691.711563065
"64",0.63,"Turbine, Runner","rn_IR_Mean_Impact_Cost",63,0.63,"IR_Auxiliary System Failure (Turbine)_rn_mean",349723.149875935
"65",0.64,"Turbine, Runner","rn_IR_Mean_Impact_Cost",64,0.64,"IR_Auxiliary System Failure (Turbine)_rn_mean",395238.485361889
"66",0.65,"Turbine, Runner","rn_IR_Mean_Impact_Cost",65,0.65,"IR_Auxiliary System Failure (Turbine)_rn_mean",447164.219388386
"67",0.66,"Turbine, Runner","rn_IR_Mean_Impact_Cost",66,0.66,"IR_Auxiliary System Failure (Turbine)_rn_mean",533956.382183673
"68",0.67,"Turbine, Runner","rn_IR_Mean_Impact_Cost",67,0.67,"IR_Auxiliary System Failure (Turbine)_rn_mean",566194.308949958
"69",0.68,"Turbine, Runner","rn_IR_Mean_Impact_Cost",68,0.68,"IR_Auxiliary System Failure (Turbine)_rn_mean",614798.777623872
"70",0.69,"Turbine, Runner","rn_IR_Mean_Impact_Cost",69,0.69,"IR_Auxiliary System Failure (Turbine)_rn_mean",664107.033190848
"71",0.7,"Turbine, Runner","rn_IR_Mean_Impact_Cost",70,0.7,"IR_Auxiliary System Failure (Turbine)_rn_mean",696433.861060734
"72",0.71,"Turbine, Runner","rn_IR_Mean_Impact_Cost",71,0.71,"IR_Auxiliary System Failure (Turbine)_rn_mean",802650.322576638
"73",0.72,"Turbine, Runner","rn_IR_Mean_Impact_Cost",72,0.72,"IR_Auxiliary System Failure (Turbine)_rn_mean",1013264.51860658
"74",0.73,"Turbine, Runner","rn_IR_Mean_Impact_Cost",73,0.73,"IR_Auxiliary System Failure (Turbine)_rn_mean",1057268.2380214
"75",0.74,"Turbine, Runner","rn_IR_Mean_Impact_Cost",74,0.74,"IR_Auxiliary System Failure (Turbine)_rn_mean",1144497.6432434
"76",0.75,"Turbine, Runner","rn_IR_Mean_Impact_Cost",75,0.75,"IR_Auxiliary System Failure (Turbine)_rn_mean",1226981.29003301
"77",0.76,"Turbine, Runner","rn_IR_Mean_Impact_Cost",76,0.76,"IR_Auxiliary System Failure (Turbine)_rn_mean",1285487.32983102
"78",0.77,"Turbine, Runner","rn_IR_Mean_Impact_Cost",77,0.77,"IR_Auxiliary System Failure (Turbine)_rn_mean",1398656.69067256
"79",0.78,"Turbine, Runner","rn_IR_Mean_Impact_Cost",78,0.78,"IR_Auxiliary System Failure (Turbine)_rn_mean",1525151.66256364
"80",0.79,"Turbine, Runner","rn_IR_Mean_Impact_Cost",79,0.79,"IR_Auxiliary System Failure (Turbine)_rn_mean",1591945.75256184
"81",0.8,"Turbine, Runner","rn_IR_Mean_Impact_Cost",80,0.8,"IR_Auxiliary System Failure (Turbine)_rn_mean",1669111.14188767
"82",0.81,"Turbine, Runner","rn_IR_Mean_Impact_Cost",81,0.81,"IR_Auxiliary System Failure (Turbine)_rn_mean",1899559.31508896
"83",0.82,"Turbine, Runner","rn_IR_Mean_Impact_Cost",82,0.82,"IR_Auxiliary System Failure (Turbine)_rn_mean",2362751.30938505
"84",0.83,"Turbine, Runner","rn_IR_Mean_Impact_Cost",83,0.83,"IR_Auxiliary System Failure (Turbine)_rn_mean",2573054.9012782
"85",0.84,"Turbine, Runner","rn_IR_Mean_Impact_Cost",84,0.84,"IR_Auxiliary System Failure (Turbine)_rn_mean",2822758.3658177
"86",0.85,"Turbine, Runner","rn_IR_Mean_Impact_Cost",85,0.85,"IR_Auxiliary System Failure (Turbine)_rn_mean",3155948.11555502
"87",0.86,"Turbine, Runner","rn_IR_Mean_Impact_Cost",86,0.86,"IR_Auxiliary System Failure (Turbine)_rn_mean",3242840.94481351
"88",0.87,"Turbine, Runner","rn_IR_Mean_Impact_Cost",87,0.87,"IR_Auxiliary System Failure (Turbine)_rn_mean",4577357.594504
"89",0.88,"Turbine, Runner","rn_IR_Mean_Impact_Cost",88,0.88,"IR_Auxiliary System Failure (Turbine)_rn_mean",4868803.46358628
"90",0.89,"Turbine, Runner","rn_IR_Mean_Impact_Cost",89,0.89,"IR_Auxiliary System Failure (Turbine)_rn_mean",5147541.72085306
"91",0.9,"Turbine, Runner","rn_IR_Mean_Impact_Cost",90,0.9,"IR_Auxiliary System Failure (Turbine)_rn_mean",5341007.32825507
"92",0.91,"Turbine, Runner","rn_IR_Mean_Impact_Cost",91,0.91,"IR_Auxiliary System Failure (Turbine)_rn_mean",5848240.13116376
"93",0.92,"Turbine, Runner","rn_IR_Mean_Impact_Cost",92,0.92,"IR_Auxiliary System Failure (Turbine)_rn_mean",6609614.47516239
"94",0.93,"Turbine, Runner","rn_IR_Mean_Impact_Cost",93,0.93,"IR_Auxiliary System Failure (Turbine)_rn_mean",6765607.5280808
"95",0.94,"Turbine, Runner","rn_IR_Mean_Impact_Cost",94,0.94,"IR_Auxiliary System Failure (Turbine)_rn_mean",7314827.16874065
"96",0.95,"Turbine, Runner","rn_IR_Mean_Impact_Cost",95,0.95,"IR_Auxiliary System Failure (Turbine)_rn_mean",7475833.56131991
"97",0.96,"Turbine, Runner","rn_IR_Mean_Impact_Cost",96,0.96,"IR_Auxiliary System Failure (Turbine)_rn_mean",7945848.08579258
"98",0.97,"Turbine, Runner","rn_IR_Mean_Impact_Cost",97,0.97,"IR_Auxiliary System Failure (Turbine)_rn_mean",10324832.4794815
"99",0.98,"Turbine, Runner","rn_IR_Mean_Impact_Cost",98,0.98,"IR_Auxiliary System Failure (Turbine)_rn_mean",10795659.8091587
"100",0.99,"Turbine, Runner","rn_IR_Mean_Impact_Cost",99,0.99,"IR_Auxiliary System Failure (Turbine)_rn_mean",12215238.4485775
"101",1,"Turbine, Runner","rn_IR_Mean_Impact_Cost",100,1,"IR_Auxiliary System Failure (Turbine)_rn_mean",12527867.6228296
